iters, train_size, test_size, pval, time
10, 128, 128, 0.8596622325515288, 1.8178346157073975
10, 128, 128, 0.21174584308311767, 1.7683618068695068
10, 128, 128, 0.7610663630196306, 1.8027114868164062
15, 128, 128, 0.5133948581659254, 1.8988401889801025
15, 128, 128, 0.5639662304192129, 1.8401093482971191
15, 128, 128, 0.9769758330437882, 1.8532993793487549
20, 128, 128, 0.3650345372724693, 1.9741251468658447
20, 128, 128, 0.21787213225055946, 1.998537302017212
20, 128, 128, 0.11090226506967288, 2.029653310775757
25, 128, 128, 0.6436459623474924, 2.0804214477539062
25, 128, 128, 0.13434469721055606, 2.0943260192871094
25, 128, 128, 0.1684672725942769, 2.10654354095459
30, 128, 128, 0.7940158577890786, 2.2469322681427
30, 128, 128, 0.9014948643876239, 2.2153918743133545
30, 128, 128, 0.9362979175103637, 2.225287675857544
35, 128, 128, 0.36621259976924725, 2.393535852432251
35, 128, 128, 0.9017958971684167, 2.355876922607422
35, 128, 128, 0.3971669807972083, 2.317253828048706
40, 128, 128, 0.035543485618396854, 2.441509962081909
40, 128, 128, 0.7903900139113132, 2.413336753845215
40, 128, 128, 0.7236730489544101, 2.4236719608306885
45, 128, 128, 0.5098564220336812, 2.5931661128997803
45, 128, 128, 0.04738184553976244, 2.533703565597534
45, 128, 128, 0.6412548458438365, 2.5759449005126953
50, 128, 128, 0.9505999149032909, 2.6574344635009766
50, 128, 128, 0.8277031981480332, 2.673640489578247
50, 128, 128, 0.21830631286017632, 2.6558356285095215
10, 128, 256, 0.6260141630909619, 1.8219213485717773
10, 128, 256, 0.007653876271463422, 1.8341848850250244
10, 128, 256, 0.4393621181200826, 1.8366601467132568
15, 128, 256, 0.9764949587645796, 2.021127939224243
15, 128, 256, 0.7190356509021092, 2.002314329147339
15, 128, 256, 0.4388884862616484, 1.99796462059021
20, 128, 256, 0.34857078911511286, 2.179074764251709
20, 128, 256, 0.38465151919032314, 2.1914548873901367
20, 128, 256, 0.5901749700903647, 2.179715871810913
25, 128, 256, 0.734928025710579, 2.373737096786499
25, 128, 256, 0.49135827001447074, 2.3818955421447754
25, 128, 256, 0.8811747402015566, 2.385559558868408
30, 128, 256, 0.5537010365353754, 2.5424084663391113
30, 128, 256, 0.48056349068724863, 2.5292720794677734
30, 128, 256, 0.8909924875008641, 2.598026990890503
35, 128, 256, 0.0863722576481118, 2.7141828536987305
35, 128, 256, 0.6371865957366711, 2.701901435852051
35, 128, 256, 0.45585162961861614, 2.741077423095703
40, 128, 256, 0.7313617215529411, 2.896578311920166
40, 128, 256, 0.08671867718327148, 2.836641788482666
40, 128, 256, 0.5885581696699849, 2.8626368045806885
45, 128, 256, 0.25048560815471016, 3.052727699279785
45, 128, 256, 0.3749814569835138, 3.068042516708374
45, 128, 256, 0.1053710308780856, 3.105772018432617
50, 128, 256, 0.0017773080238407866, 3.169861316680908
50, 128, 256, 0.2120067892651573, 3.2141733169555664
50, 128, 256, 0.3313911108554361, 3.1833789348602295
10, 128, 512, 0.6628339166651254, 2.0366334915161133
10, 128, 512, 0.026544914170653664, 2.09040904045105
10, 128, 512, 0.3895677901425387, 2.0670673847198486
15, 128, 512, 0.6762908327568933, 2.3409128189086914
15, 128, 512, 0.11689463084511885, 2.3703536987304688
15, 128, 512, 0.7910965976226014, 2.347151279449463
20, 128, 512, 0.27888456018100877, 2.653224468231201
20, 128, 512, 0.7533343384672068, 2.621859550476074
20, 128, 512, 0.25596434649741595, 2.6010537147521973
25, 128, 512, 0.717694213442756, 2.9113643169403076
25, 128, 512, 0.15030404385055968, 2.9129533767700195
25, 128, 512, 0.4861418525295331, 2.8802857398986816
30, 128, 512, 0.5405679542776465, 3.1762211322784424
30, 128, 512, 0.6213236354355922, 3.1864378452301025
30, 128, 512, 0.9981521404081519, 3.21532940864563
35, 128, 512, 0.9863699358514333, 3.4061033725738525
35, 128, 512, 0.46814229473549174, 3.3736472129821777
35, 128, 512, 0.6854888580071745, 3.391977310180664
40, 128, 512, 0.03530725620050626, 3.65399169921875
40, 128, 512, 0.7928900895341374, 3.6697449684143066
40, 128, 512, 0.04454796452926186, 3.711625814437866
45, 128, 512, 0.9815981811377016, 3.8720242977142334
45, 128, 512, 0.9257998401899871, 3.940688371658325
45, 128, 512, 0.7034210985095142, 3.946061134338379
50, 128, 512, 0.953738260140977, 4.226563215255737
50, 128, 512, 0.27910543594307413, 4.238553047180176
50, 128, 512, 0.6339447895424415, 4.204608917236328
10, 128, 1024, 0.26432878668995263, 2.5319461822509766
10, 128, 1024, 0.5297123428435268, 2.5218722820281982
10, 128, 1024, 0.7894308760807218, 2.522590398788452
15, 128, 1024, 0.9372200674040968, 2.9914333820343018
15, 128, 1024, 0.7007800269044526, 3.0052733421325684
15, 128, 1024, 0.24681282470605198, 3.0286738872528076
20, 128, 1024, 0.018102892542333444, 3.4486308097839355
20, 128, 1024, 0.9670508896282047, 3.449582099914551
20, 128, 1024, 0.22370062004715735, 3.4739432334899902
25, 128, 1024, 0.4430044259147689, 3.929586172103882
25, 128, 1024, 0.9801842389427177, 3.887859582901001
25, 128, 1024, 0.27769191037290086, 3.922060966491699
30, 128, 1024, 0.8746572605148505, 4.310009479522705
30, 128, 1024, 0.5564601487137737, 4.345913887023926
30, 128, 1024, 0.9788802639343073, 4.369520664215088
35, 128, 1024, 0.9250370765204997, 4.799480438232422
35, 128, 1024, 0.7224990319311886, 4.725199937820435
35, 128, 1024, 0.35707332309275186, 4.836015462875366
40, 128, 1024, 0.735450535313501, 5.233195781707764
40, 128, 1024, 0.06507948485812028, 5.188337564468384
40, 128, 1024, 0.5993395199935502, 5.332759857177734
45, 128, 1024, 0.23393158361722194, 5.650947570800781
45, 128, 1024, 0.2635431253383803, 5.657047748565674
45, 128, 1024, 0.7597587939082355, 5.610924243927002
50, 128, 1024, 0.019562689992388377, 6.097463846206665
50, 128, 1024, 0.5211109702790444, 6.16310977935791
50, 128, 1024, 0.40917575914916454, 6.09417200088501
10, 128, 2048, 0.46257278925495027, 3.3754990100860596
10, 128, 2048, 0.4543887503255947, 3.378854513168335
10, 128, 2048, 0.8946486430818242, 3.3328707218170166
15, 128, 2048, 0.8817896409931838, 4.163525581359863
15, 128, 2048, 0.26324717929906355, 4.189668655395508
15, 128, 2048, 0.2631808035492523, 4.238009452819824
20, 128, 2048, 0.5162754554965773, 5.089116811752319
20, 128, 2048, 0.47840268065560654, 4.987853050231934
20, 128, 2048, 0.37324893611021054, 4.969685316085815
25, 128, 2048, 0.804679895245954, 5.821608304977417
25, 128, 2048, 0.8152054277538872, 5.813020467758179
25, 128, 2048, 0.8321230560283519, 5.876731872558594
30, 128, 2048, 0.0809133560961808, 6.7651448249816895
30, 128, 2048, 0.8136515487759517, 6.701653718948364
30, 128, 2048, 0.5795790018462792, 6.783655405044556
35, 128, 2048, 0.9264205725350769, 7.466917514801025
35, 128, 2048, 0.0250159388334946, 7.584853649139404
35, 128, 2048, 0.4497237248506245, 7.51603102684021
40, 128, 2048, 0.8469841897014263, 8.296324014663696
40, 128, 2048, 0.04690838372373718, 8.397731304168701
40, 128, 2048, 0.8403008923929771, 8.398420572280884
45, 128, 2048, 0.25113956234397217, 9.260791540145874
45, 128, 2048, 0.6171187778753391, 9.200875520706177
45, 128, 2048, 0.18710722278788222, 9.194422006607056
50, 128, 2048, 0.1447509342967777, 10.080724000930786
50, 128, 2048, 0.3634399063963841, 10.1977858543396
50, 128, 2048, 0.791334295520673, 10.046117067337036
10, 128, 4096, 0.4879247878976981, 4.91712760925293
10, 128, 4096, 0.8534959092979015, 4.938981771469116
10, 128, 4096, 0.8886851433578711, 4.9232683181762695
15, 128, 4096, 0.013745763427061672, 6.496545314788818
15, 128, 4096, 0.5232962529771171, 6.562793970108032
15, 128, 4096, 0.9753267378082286, 6.668175935745239
20, 128, 4096, 0.8955891767192956, 8.205678462982178
20, 128, 4096, 0.8457969462818528, 8.090102195739746
20, 128, 4096, 0.364984736948402, 8.196690320968628
25, 128, 4096, 0.9615423418085046, 9.754239797592163
25, 128, 4096, 0.47394720463393936, 9.77431058883667
25, 128, 4096, 0.28671734289234174, 9.81916880607605
30, 128, 4096, 0.9363498767728323, 11.582090139389038
30, 128, 4096, 0.224434572463924, 11.556393146514893
30, 128, 4096, 0.21625118648590136, 11.433391571044922
35, 128, 4096, 0.7628201605663891, 13.004422664642334
35, 128, 4096, 0.5975564557778147, 13.099406480789185
35, 128, 4096, 0.5871073059691868, 12.965865135192871
40, 128, 4096, 0.6191126217469143, 14.668561935424805
40, 128, 4096, 0.8985978531692889, 14.75348949432373
40, 128, 4096, 0.004547945785627001, 14.862767219543457
45, 128, 4096, 0.8891504529239286, 16.42288303375244
45, 128, 4096, 0.515015448003264, 16.35176944732666
45, 128, 4096, 0.26899465426861796, 16.365872144699097
50, 128, 4096, 0.45297219816348533, 18.041847229003906
50, 128, 4096, 0.24702277246609083, 18.003469705581665
50, 128, 4096, 0.42899085216422433, 18.107510328292847
10, 128, 8192, 0.7584948213407465, 7.96321439743042
10, 128, 8192, 0.6207731955991644, 7.941133499145508
10, 128, 8192, 0.03973494177770087, 7.95441460609436
15, 128, 8192, 0.7518360917229062, 11.230281829833984
15, 128, 8192, 0.02644844069089033, 11.184010744094849
15, 128, 8192, 0.4476156795946822, 11.137463331222534
20, 128, 8192, 0.02961665757209267, 14.510443210601807
20, 128, 8192, 0.22008823742994027, 14.583170652389526
20, 128, 8192, 0.5410907765825009, 14.334489822387695
25, 128, 8192, 0.46975210063157957, 17.625238180160522
25, 128, 8192, 0.4305289384934937, 17.610620975494385
25, 128, 8192, 0.1568468910977494, 17.611079216003418
30, 128, 8192, 0.28378880443506516, 21.039137601852417
30, 128, 8192, 0.3978013079208205, 21.037960529327393
30, 128, 8192, 0.1664287186894876, 21.040384769439697
35, 128, 8192, 0.5046556878911327, 24.424246549606323
35, 128, 8192, 0.542067516294061, 24.400848150253296
35, 128, 8192, 0.9102889463259759, 24.225646018981934
40, 128, 8192, 0.4847656034650472, 27.400235891342163
40, 128, 8192, 0.9520013180174841, 27.631550312042236
40, 128, 8192, 0.8335042230180367, 27.55303120613098
45, 128, 8192, 0.3059040463003143, 30.951223850250244
45, 128, 8192, 0.32208125713047575, 31.0671329498291
45, 128, 8192, 0.4299083959677678, 30.93614673614502
50, 128, 8192, 0.7409622154262339, 34.67713785171509
50, 128, 8192, 0.24328570965094043, 34.33488082885742
50, 128, 8192, 0.11785308214387259, 34.35413384437561
10, 256, 128, 0.17258353529990073, 1.845391035079956
10, 256, 128, 0.7024305084464137, 1.8338472843170166
10, 256, 128, 0.08521876914789937, 1.852957010269165
15, 256, 128, 0.4836371931679856, 1.9737954139709473
15, 256, 128, 0.8411703720621614, 2.0121614933013916
15, 256, 128, 0.3337552386974535, 2.0022079944610596
20, 256, 128, 0.7801387233641572, 2.1537508964538574
20, 256, 128, 0.6552635820889876, 2.2181475162506104
20, 256, 128, 0.9089607932990379, 2.1645379066467285
25, 256, 128, 0.3475239496455421, 2.387989044189453
25, 256, 128, 0.5115455551308404, 2.3433876037597656
25, 256, 128, 0.1840606184341721, 2.3344037532806396
30, 256, 128, 0.6078430547115236, 2.522261381149292
30, 256, 128, 0.21983593547557345, 2.5155274868011475
30, 256, 128, 0.024478449636761577, 2.5214731693267822
35, 256, 128, 0.8108191155538836, 2.6753549575805664
35, 256, 128, 0.313320667458332, 2.6772677898406982
35, 256, 128, 0.4418704991142022, 2.6820666790008545
40, 256, 128, 0.9560397559075492, 2.841555118560791
40, 256, 128, 0.28958680306969486, 2.861950635910034
40, 256, 128, 0.7737352572277845, 2.8659727573394775
45, 256, 128, 0.017266987613990245, 3.0551645755767822
45, 256, 128, 0.25260530641817514, 3.0156571865081787
45, 256, 128, 0.5584971691473508, 3.049736499786377
50, 256, 128, 0.8380347537120437, 3.144768476486206
50, 256, 128, 0.953683548586346, 3.1557531356811523
50, 256, 128, 0.8345169749252159, 3.1418917179107666
10, 256, 256, 0.6576956326395009, 1.9149551391601562
10, 256, 256, 0.9321584499344968, 1.9389219284057617
