circuit,protocol,iters,train_size,test_size,pval,data_time,d_tree_time,bias_sharing,bias_and,accidental_secret,accidental_gate,outputs
adder_1.txt,gmw,128,1024,512,4.4257934076201776e-05,0.64,2.29,0,0,0,0,values
adder_1.txt,gmw,128,1024,512,0.0001395227716879251,0.69,2.26,0,0,0,0,values
adder_1.txt,gmw,128,1024,512,2.8167770553531514e-05,0.75,2.83,0,0,0,0,values
adder_1.txt,gmw,128,2048,1024,0.5,1.2,3.05,0,0,0,0,values
adder_1.txt,gmw,128,2048,1024,0.5,1.3,2.97,0,0,0,0,values
adder_1.txt,gmw,128,2048,1024,0.5,1.23,2.9,0,0,0,0,values
adder_1.txt,gmw,256,1024,512,1.673298427699987e-07,1.27,3.06,0,0,0,0,values
adder_1.txt,gmw,256,1024,512,4.165697161724731e-10,1.28,2.95,0,0,0,0,values
adder_1.txt,gmw,256,1024,512,3.397625639812612e-08,1.15,2.48,0,0,0,0,values
adder_1.txt,gmw,256,2048,1024,0.5,2.04,2.87,0,0,0,0,values
adder_1.txt,gmw,256,2048,1024,0.5,1.98,3.72,0,0,0,0,values
adder_1.txt,gmw,256,2048,1024,0.5,2.19,3.58,0,0,0,0,values
adder_1.txt,gmw,128,1024,512,0.000525502583703022,0.82,2.99,0,0,0,1,values
adder_1.txt,gmw,128,1024,512,0.00014263833134828862,0.79,2.7,0,0,0,1,values
adder_1.txt,gmw,128,1024,512,0.00015348755396194487,0.8,2.91,0,0,0,1,values
adder_1.txt,gmw,128,2048,1024,0.5,1.28,2.67,0,0,0,1,values
adder_1.txt,gmw,128,2048,1024,0.5,1.12,2.49,0,0,0,1,values
adder_1.txt,gmw,128,2048,1024,0.5,1.1,2.31,0,0,0,1,values
adder_1.txt,gmw,256,1024,512,7.540363856107724e-07,1.22,2.78,0,0,0,1,values
adder_1.txt,gmw,256,1024,512,4.698714440651402e-09,1.23,3.18,0,0,0,1,values
adder_1.txt,gmw,256,1024,512,8.030999969779797e-07,1.33,3.09,0,0,0,1,values
adder_1.txt,gmw,256,2048,1024,0.5,2.39,3.31,0,0,0,1,values
adder_1.txt,gmw,256,2048,1024,0.5,2.29,3.56,0,0,0,1,values
adder_1.txt,gmw,256,2048,1024,0.5,2.16,3.18,0,0,0,1,values
adder_1.txt,gmw,128,1024,512,0.000519473846977073,0.81,2.3,0,0,0,2,values
adder_1.txt,gmw,128,1024,512,1.8465665879392072e-05,0.74,2.16,0,0,0,2,values
adder_1.txt,gmw,128,1024,512,9.032676515085521e-05,0.71,2.54,0,0,0,2,values
adder_1.txt,gmw,128,2048,1024,0.5,1.47,2.81,0,0,0,2,values
adder_1.txt,gmw,128,2048,1024,0.18554668476134878,1.37,2.76,0,0,0,2,values
adder_1.txt,gmw,128,2048,1024,0.18554668476134878,1.36,2.95,0,0,0,2,values
adder_1.txt,gmw,256,1024,512,2.595133650257626e-07,1.34,3.29,0,0,0,2,values
adder_1.txt,gmw,256,1024,512,2.6767831472261518e-06,1.31,3.12,0,0,0,2,values
adder_1.txt,gmw,256,1024,512,3.283882741910169e-08,1.24,2.5,0,0,0,2,values
adder_1.txt,gmw,256,2048,1024,0.5,2.06,3.06,0,0,0,2,values
adder_1.txt,gmw,256,2048,1024,0.18554668476134878,2.14,3.63,0,0,0,2,values
adder_1.txt,gmw,256,2048,1024,0.18554668476134878,2.38,3.46,0,0,0,2,values
adder_1.txt,gmw,128,1024,512,5.96549017966077e-05,0.88,2.59,0,0,1,0,values
adder_1.txt,gmw,128,1024,512,0.0011592579809966508,0.78,2.51,0,0,1,0,values
adder_1.txt,gmw,128,1024,512,2.7327058603647462e-05,0.81,2.69,0,0,1,0,values
adder_1.txt,gmw,128,2048,1024,0.5,1.27,2.34,0,0,1,0,values
adder_1.txt,gmw,128,2048,1024,0.5,1.17,2.37,0,0,1,0,values
adder_1.txt,gmw,128,2048,1024,0.5,1.13,2.3,0,0,1,0,values
adder_1.txt,gmw,256,1024,512,1.1501603591301135e-06,1.2,2.82,0,0,1,0,values
adder_1.txt,gmw,256,1024,512,4.9719598359620254e-08,1.37,3.2,0,0,1,0,values
adder_1.txt,gmw,256,1024,512,6.958296685473248e-08,1.45,2.84,0,0,1,0,values
adder_1.txt,gmw,256,2048,1024,0.5,2.34,3.52,0,0,1,0,values
adder_1.txt,gmw,256,2048,1024,0.5,2.31,3.28,0,0,1,0,values
adder_1.txt,gmw,256,2048,1024,0.5,2.18,2.72,0,0,1,0,values
adder_1.txt,gmw,128,1024,512,0.00014349669227360832,0.69,2.24,0,0,2,0,values
adder_1.txt,gmw,128,1024,512,4.394220854514504e-05,0.78,2.3,0,0,2,0,values
adder_1.txt,gmw,128,1024,512,0.00021831792097913238,0.72,2.52,0,0,2,0,values
adder_1.txt,gmw,128,2048,1024,0.5,1.31,2.9,0,0,2,0,values
adder_1.txt,gmw,128,2048,1024,0.5,1.39,2.77,0,0,2,0,values
adder_1.txt,gmw,128,2048,1024,0.5,1.33,2.89,0,0,2,0,values
adder_1.txt,gmw,256,1024,512,4.1284486722036897e-07,1.29,2.85,0,0,2,0,values
adder_1.txt,gmw,256,1024,512,2.241705296027725e-07,1.43,2.93,0,0,2,0,values
adder_1.txt,gmw,256,1024,512,5.225104251359531e-08,1.24,2.63,0,0,2,0,values
adder_1.txt,gmw,256,2048,1024,0.5,2.16,3.06,0,0,2,0,values
adder_1.txt,gmw,256,2048,1024,0.5,2.27,3.47,0,0,2,0,values
adder_1.txt,gmw,256,2048,1024,0.5,2.44,3.45,0,0,2,0,values
adder_1.txt,gmw,128,1024,512,9.635237235786794e-05,0.9,2.81,0,1,0,0,values
adder_1.txt,gmw,128,1024,512,2.96003661196543e-05,0.81,2.71,0,1,0,0,values
adder_1.txt,gmw,128,1024,512,6.155791925271105e-06,0.8,2.63,0,1,0,0,values
adder_1.txt,gmw,128,2048,1024,0.5,1.2,2.23,0,1,0,0,values
adder_1.txt,gmw,128,2048,1024,0.18554668476134878,1.26,2.18,0,1,0,0,values
adder_1.txt,gmw,128,2048,1024,0.17288929307558015,1.18,2.34,0,1,0,0,values
adder_1.txt,gmw,256,1024,512,3.561194959220049e-08,1.16,3.11,0,1,0,0,values
adder_1.txt,gmw,256,1024,512,1.832269613336078e-06,1.39,2.97,0,1,0,0,values
adder_1.txt,gmw,256,1024,512,3.10877458115736e-08,1.34,3.17,0,1,0,0,values
adder_1.txt,gmw,256,2048,1024,0.5,2.3,3.2,0,1,0,0,values
adder_1.txt,gmw,256,2048,1024,0.18554668476134878,2.36,3.32,0,1,0,0,values
adder_1.txt,gmw,256,2048,1024,0.5,2.04,2.99,0,1,0,0,values
adder_1.txt,gmw,128,1024,512,0.0002237636331901112,0.68,2.43,0,2,0,0,values
adder_1.txt,gmw,128,1024,512,0.00034817102825674865,0.75,2.41,0,2,0,0,values
adder_1.txt,gmw,128,1024,512,9.380677862638083e-05,0.86,2.77,0,2,0,0,values
adder_1.txt,gmw,128,2048,1024,0.5,1.44,2.9,0,2,0,0,values
adder_1.txt,gmw,128,2048,1024,0.5,1.33,2.84,0,2,0,0,values
adder_1.txt,gmw,128,2048,1024,0.18554668476134878,1.41,2.94,0,2,0,0,values
adder_1.txt,gmw,256,1024,512,2.6473967156550045e-06,1.29,2.9,0,2,0,0,values
adder_1.txt,gmw,256,1024,512,6.535031172905454e-08,1.21,2.41,0,2,0,0,values
adder_1.txt,gmw,256,1024,512,3.684851509800568e-07,1.14,2.61,0,2,0,0,values
adder_1.txt,gmw,256,2048,1024,0.5,2.1,2.98,0,2,0,0,values
adder_1.txt,gmw,256,2048,1024,0.5,2.29,3.31,0,2,0,0,values
adder_1.txt,gmw,256,2048,1024,0.5,2.39,3.48,0,2,0,0,values
adder_1.txt,gmw,128,1024,512,1.6885447578771593e-12,0.81,2.73,1,0,0,0,values
adder_1.txt,gmw,128,1024,512,1.7008870914245658e-10,0.86,2.65,1,0,0,0,values
adder_1.txt,gmw,128,1024,512,7.91103598142003e-14,0.91,2.71,1,0,0,0,values
adder_1.txt,gmw,128,2048,1024,6.000242382329661e-06,1.2,2.49,1,0,0,0,values
adder_1.txt,gmw,128,2048,1024,5.593927753928537e-06,1.21,2.35,1,0,0,0,values
adder_1.txt,gmw,128,2048,1024,7.852797570456422e-07,1.26,2.52,1,0,0,0,values
adder_1.txt,gmw,256,1024,512,6.434352600559414e-23,1.22,3.16,1,0,0,0,values
adder_1.txt,gmw,256,1024,512,4.2690359475093534e-23,1.34,3.03,1,0,0,0,values
adder_1.txt,gmw,256,1024,512,9.745313186374017e-25,1.46,3.27,1,0,0,0,values
adder_1.txt,gmw,256,2048,1024,6.619840975462677e-11,2.35,3.5,1,0,0,0,values
adder_1.txt,gmw,256,2048,1024,3.3590898029971254e-10,2.51,3.21,1,0,0,0,values
adder_1.txt,gmw,256,2048,1024,2.024522523573767e-11,2.32,2.96,1,0,0,0,values
adder_1.txt,gmw,128,1024,512,4.0253136483531265e-14,0.78,2.3,2,0,0,0,values
adder_1.txt,gmw,128,1024,512,1.705942627259984e-14,0.92,2.6,2,0,0,0,values
adder_1.txt,gmw,128,1024,512,4.9175097644690785e-14,0.89,2.62,2,0,0,0,values
adder_1.txt,gmw,128,2048,1024,3.359969976717152e-14,1.49,3.0,2,0,0,0,values
adder_1.txt,gmw,128,2048,1024,1.4650433844842483e-15,1.57,2.78,2,0,0,0,values
adder_1.txt,gmw,128,2048,1024,1.5313295723554383e-14,1.45,2.84,2,0,0,0,values
adder_1.txt,gmw,256,1024,512,5.66673567415316e-26,1.37,2.75,2,0,0,0,values
adder_1.txt,gmw,256,1024,512,7.43907421701845e-30,1.31,2.56,2,0,0,0,values
adder_1.txt,gmw,256,1024,512,1.0131717441480597e-26,1.3,2.64,2,0,0,0,values
adder_1.txt,gmw,256,2048,1024,3.3655343127246326e-26,2.62,3.61,2,0,0,0,values
adder_1.txt,gmw,256,2048,1024,8.74936838247159e-25,2.59,3.57,2,0,0,0,values
adder_1.txt,gmw,256,2048,1024,3.7961800043300916e-24,2.62,4.17,2,0,0,0,values
adder_1.txt,beaver,128,1024,512,6.434439557556359e-17,0.93,2.84,0,0,0,0,values
adder_1.txt,beaver,128,1024,512,1.5315424093523998e-17,0.9,2.44,0,0,0,0,values
adder_1.txt,beaver,128,1024,512,7.801242751103e-18,0.91,2.32,0,0,0,0,values
adder_1.txt,beaver,128,2048,1024,1.6947617030290848e-19,1.5,2.82,0,0,0,0,values
adder_1.txt,beaver,128,2048,1024,4.753588847431942e-18,1.63,3.07,0,0,0,0,values
adder_1.txt,beaver,128,2048,1024,1.2589593111476823e-17,1.67,3.03,0,0,0,0,values
adder_1.txt,beaver,256,1024,512,6.741090017766647e-33,1.74,3.0,0,0,0,0,values
adder_1.txt,beaver,256,1024,512,5.783861171612276e-33,1.72,3.04,0,0,0,0,values
adder_1.txt,beaver,256,1024,512,4.29894593198325e-34,1.77,3.27,0,0,0,0,values
adder_1.txt,beaver,256,2048,1024,6.874308693302143e-35,2.69,3.33,0,0,0,0,values
adder_1.txt,beaver,256,2048,1024,1.8991282265656218e-35,2.6,3.16,0,0,0,0,values
adder_1.txt,beaver,256,2048,1024,8.027186466868262e-35,3.05,4.13,0,0,0,0,values
adder_1.txt,beaver,128,1024,512,2.0692047379851876e-14,1.03,2.95,0,0,0,1,values
adder_1.txt,beaver,128,1024,512,1.3719521458769792e-13,1.08,2.83,0,0,0,1,values
adder_1.txt,beaver,128,1024,512,2.2753895823556718e-14,1.07,2.62,0,0,0,1,values
adder_1.txt,beaver,128,2048,1024,3.007360268290045e-19,1.71,2.5,0,0,0,1,values
adder_1.txt,beaver,128,2048,1024,7.401860236531476e-18,1.51,2.76,0,0,0,1,values
adder_1.txt,beaver,128,2048,1024,1.516438351655121e-19,1.53,2.49,0,0,0,1,values
adder_1.txt,beaver,256,1024,512,3.86885932835188e-28,1.65,3.49,0,0,0,1,values
adder_1.txt,beaver,256,1024,512,1.8108774419494496e-31,1.72,3.19,0,0,0,1,values
adder_1.txt,beaver,256,1024,512,2.009514763182494e-27,1.66,3.27,0,0,0,1,values
adder_1.txt,beaver,256,2048,1024,1.117990062785106e-34,3.17,4.08,0,0,0,1,values
adder_1.txt,beaver,256,2048,1024,6.923702689231938e-35,2.88,3.29,0,0,0,1,values
adder_1.txt,beaver,256,2048,1024,3.899330440194567e-34,2.76,3.31,0,0,0,1,values
adder_1.txt,beaver,128,1024,512,1.807545241072952e-15,1.01,2.74,0,0,0,2,values
adder_1.txt,beaver,128,1024,512,8.981221750948037e-15,0.99,2.94,0,0,0,2,values
adder_1.txt,beaver,128,1024,512,2.086917227156585e-17,0.99,3.15,0,0,0,2,values
adder_1.txt,beaver,128,2048,1024,4.0892207100298324e-17,1.7,3.2,0,0,0,2,values
adder_1.txt,beaver,128,2048,1024,9.476096030271157e-19,1.71,2.84,0,0,0,2,values
adder_1.txt,beaver,128,2048,1024,1.0313700958587946e-16,1.59,2.46,0,0,0,2,values
adder_1.txt,beaver,256,1024,512,1.0154600314734776e-25,1.57,2.63,0,0,0,2,values
adder_1.txt,beaver,256,1024,512,7.727998491988361e-30,1.54,2.7,0,0,0,2,values
adder_1.txt,beaver,256,1024,512,1.226310726442964e-31,1.74,3.28,0,0,0,2,values
adder_1.txt,beaver,256,2048,1024,1.4557430915128787e-35,3.12,3.92,0,0,0,2,values
adder_1.txt,beaver,256,2048,1024,5.6568551631950715e-33,3.15,3.93,0,0,0,2,values
adder_1.txt,beaver,256,2048,1024,1.5012948429457906e-35,3.03,3.02,0,0,0,2,values
adder_1.txt,beaver,128,1024,512,7.562553084114546e-17,1.03,2.27,0,0,1,0,values
adder_1.txt,beaver,128,1024,512,6.135149990167014e-17,0.93,2.34,0,0,1,0,values
adder_1.txt,beaver,128,1024,512,5.989910335952815e-17,0.88,2.7,0,0,1,0,values
adder_1.txt,beaver,128,2048,1024,1.9939833887675315e-19,1.67,3.06,0,0,1,0,values
adder_1.txt,beaver,128,2048,1024,1.0354865383420802e-17,1.72,3.0,0,0,1,0,values
adder_1.txt,beaver,128,2048,1024,3.4670030437088856e-19,1.76,3.11,0,0,1,0,values
adder_1.txt,beaver,256,1024,512,3.083919972366655e-31,1.71,3.44,0,0,1,0,values
adder_1.txt,beaver,256,1024,512,1.5168949406547658e-30,1.76,3.03,0,0,1,0,values
adder_1.txt,beaver,256,1024,512,3.591588675839119e-30,1.48,2.75,0,0,1,0,values
adder_1.txt,beaver,256,2048,1024,5.189771145167678e-35,2.75,3.52,0,0,1,0,values
adder_1.txt,beaver,256,2048,1024,3.327301038176902e-37,3.14,4.1,0,0,1,0,values
adder_1.txt,beaver,256,2048,1024,9.898686612510578e-38,2.99,3.83,0,0,1,0,values
adder_1.txt,beaver,128,1024,512,1.010676989620377e-15,1.04,2.92,0,0,2,0,values
adder_1.txt,beaver,128,1024,512,2.880894219140791e-16,1.02,2.38,0,0,2,0,values
adder_1.txt,beaver,128,1024,512,9.317627662697017e-17,0.9,2.49,0,0,2,0,values
adder_1.txt,beaver,128,2048,1024,4.3389054388494745e-18,1.55,2.71,0,0,2,0,values
adder_1.txt,beaver,128,2048,1024,8.477517474600959e-18,1.68,2.97,0,0,2,0,values
adder_1.txt,beaver,128,2048,1024,7.38886546246758e-18,1.72,2.8,0,0,2,0,values
adder_1.txt,beaver,256,1024,512,7.637532884841875e-30,1.68,3.29,0,0,2,0,values
adder_1.txt,beaver,256,1024,512,7.244089628263672e-33,1.73,3.55,0,0,2,0,values
adder_1.txt,beaver,256,1024,512,3.531143481751489e-30,1.82,2.62,0,0,2,0,values
adder_1.txt,beaver,256,2048,1024,8.7118891848972e-32,2.75,3.52,0,0,2,0,values
adder_1.txt,beaver,256,2048,1024,1.0241430580997945e-31,2.87,3.98,0,0,2,0,values
adder_1.txt,beaver,256,2048,1024,6.703207057442821e-35,3.1,4.23,0,0,2,0,values
adder_1.txt,beaver,128,1024,512,1.8007378243010488e-17,1.12,2.88,0,1,0,0,values
adder_1.txt,beaver,128,1024,512,8.62213811763575e-19,1.11,2.8,0,1,0,0,values
adder_1.txt,beaver,128,1024,512,2.5201823180506758e-17,1.02,2.62,0,1,0,0,values
adder_1.txt,beaver,128,2048,1024,3.2827446392118198e-18,1.65,2.54,0,1,0,0,values
adder_1.txt,beaver,128,2048,1024,1.8616601675919278e-19,1.57,2.78,0,1,0,0,values
adder_1.txt,beaver,128,2048,1024,4.283124963359652e-18,1.62,3.34,0,1,0,0,values
adder_1.txt,beaver,256,1024,512,1.2975398215196816e-34,1.62,3.17,0,1,0,0,values
adder_1.txt,beaver,256,1024,512,6.016156687027052e-35,1.87,3.31,0,1,0,0,values
adder_1.txt,beaver,256,1024,512,1.2199112656252588e-32,1.7,2.91,0,1,0,0,values
