circuit,protocol,iters,train_size,test_size,pval,data_time,d_tree_time,bias_sharing,bias_and,accidental_secret,accidental_gate
adder_1.txt,gmw,64,128,64,1.0,0.16,1.55,0,0,0,0
adder_1.txt,gmw,64,128,64,1.0,0.23,1.62,0,0,0,0
adder_1.txt,gmw,64,128,64,1.0,0.28,1.81,0,0,0,0
adder_1.txt,gmw,64,256,128,1.0,0.35,1.84,0,0,0,0
adder_1.txt,gmw,64,256,128,1.0,0.28,1.81,0,0,0,0
adder_1.txt,gmw,64,256,128,1.0,0.28,1.97,0,0,0,0
adder_1.txt,gmw,64,512,256,1.0,0.33,1.8,0,0,0,0
adder_1.txt,gmw,64,512,256,1.0,0.34,1.89,0,0,0,0
adder_1.txt,gmw,64,512,256,1.0,0.35,1.88,0,0,0,0
adder_1.txt,gmw,128,128,64,1.0,0.31,1.88,0,0,0,0
adder_1.txt,gmw,128,128,64,1.0,0.3,1.84,0,0,0,0
adder_1.txt,gmw,128,128,64,1.0,0.29,1.84,0,0,0,0
adder_1.txt,gmw,128,256,128,1.0,0.35,1.86,0,0,0,0
adder_1.txt,gmw,128,256,128,1.0,0.3,1.32,0,0,0,0
adder_1.txt,gmw,128,256,128,1.0,0.31,1.31,0,0,0,0
adder_1.txt,gmw,128,512,256,1.0,0.42,1.34,0,0,0,0
adder_1.txt,gmw,128,512,256,1.0,0.43,1.32,0,0,0,0
adder_1.txt,gmw,128,512,256,1.0,0.42,1.33,0,0,0,0
adder_1.txt,gmw,64,128,64,1.0,0.22,1.3,1,0,0,0
adder_1.txt,gmw,64,128,64,1.0,0.23,1.33,1,0,0,0
adder_1.txt,gmw,64,128,64,1.0,0.24,1.57,1,0,0,0
adder_1.txt,gmw,64,256,128,1.0,0.26,1.51,1,0,0,0
adder_1.txt,gmw,64,256,128,1.0,0.25,1.64,1,0,0,0
adder_1.txt,gmw,64,256,128,1.0,0.33,1.93,1,0,0,0
adder_1.txt,gmw,64,512,256,1.0,0.35,1.85,1,0,0,0
adder_1.txt,gmw,64,512,256,1.0,0.35,1.84,1,0,0,0
adder_1.txt,gmw,64,512,256,1.0,0.35,1.88,1,0,0,0
adder_1.txt,gmw,128,128,64,1.0,0.29,1.87,1,0,0,0
adder_1.txt,gmw,128,128,64,1.0,0.27,1.92,1,0,0,0
adder_1.txt,gmw,128,128,64,1.0,0.26,1.85,1,0,0,0
adder_1.txt,gmw,128,256,128,1.0,0.35,1.95,1,0,0,0
adder_1.txt,gmw,128,256,128,1.0,0.35,1.89,1,0,0,0
adder_1.txt,gmw,128,256,128,1.0,0.36,1.9,1,0,0,0
adder_1.txt,gmw,128,512,256,1.0,0.47,1.64,1,0,0,0
adder_1.txt,gmw,128,512,256,1.0,0.47,1.62,1,0,0,0
adder_1.txt,gmw,128,512,256,1.0,0.47,1.63,1,0,0,0
adder_1.txt,gmw,64,128,64,0.9999982646602281,0.23,1.57,2,0,0,0
adder_1.txt,gmw,64,128,64,0.9999938435206513,0.25,1.51,2,0,0,0
adder_1.txt,gmw,64,128,64,0.9999934295241498,0.25,1.56,2,0,0,0
adder_1.txt,gmw,64,256,128,0.9999787007151337,0.28,1.81,2,0,0,0
adder_1.txt,gmw,64,256,128,0.9999993743413278,0.3,1.88,2,0,0,0
adder_1.txt,gmw,64,256,128,0.9999992324644476,0.29,1.91,2,0,0,0
adder_1.txt,gmw,64,512,256,0.999895500939185,0.38,1.95,2,0,0,0
adder_1.txt,gmw,64,512,256,0.9999667169889705,0.37,1.78,2,0,0,0
adder_1.txt,gmw,64,512,256,0.9996037074702302,0.36,1.83,2,0,0,0
adder_1.txt,gmw,128,128,64,0.9999999996620005,0.32,1.86,2,0,0,0
adder_1.txt,gmw,128,128,64,0.9999999978992236,0.26,1.46,2,0,0,0
adder_1.txt,gmw,128,128,64,0.9999999999893939,0.28,1.46,2,0,0,0
adder_1.txt,gmw,128,256,128,0.9999999999664817,0.35,1.44,2,0,0,0
adder_1.txt,gmw,128,256,128,0.9999999999906111,0.33,1.43,2,0,0,0
adder_1.txt,gmw,128,256,128,0.9999999998403554,0.33,1.38,2,0,0,0
adder_1.txt,gmw,128,512,256,0.999999978759825,0.45,1.36,2,0,0,0
adder_1.txt,gmw,128,512,256,0.9999999810667134,0.45,1.34,2,0,0,0
adder_1.txt,gmw,128,512,256,0.9999993546573143,0.45,1.61,2,0,0,0
adder_1.txt,gmw,64,128,64,0.9999999824511199,0.25,1.61,3,0,0,0
adder_1.txt,gmw,64,128,64,0.9999999987371259,0.25,1.59,3,0,0,0
adder_1.txt,gmw,64,128,64,0.9999999943296933,0.24,1.54,3,0,0,0
adder_1.txt,gmw,64,256,128,0.9999999851258577,0.27,1.52,3,0,0,0
adder_1.txt,gmw,64,256,128,0.9999998286935594,0.27,1.76,3,0,0,0
adder_1.txt,gmw,64,256,128,0.999999425026882,0.29,1.85,3,0,0,0
adder_1.txt,gmw,64,512,256,0.9999999624974639,0.41,1.84,3,0,0,0
adder_1.txt,gmw,64,512,256,0.9999999841624406,0.35,1.88,3,0,0,0
adder_1.txt,gmw,64,512,256,0.9999999812203552,0.36,1.84,3,0,0,0
adder_1.txt,gmw,128,128,64,1.0,0.29,1.9,3,0,0,0
adder_1.txt,gmw,128,128,64,1.0,0.29,1.84,3,0,0,0
adder_1.txt,gmw,128,128,64,1.0,0.33,1.82,3,0,0,0
adder_1.txt,gmw,128,256,128,0.9999999999999957,0.37,1.91,3,0,0,0
adder_1.txt,gmw,128,256,128,0.9999999999998885,0.33,1.9,3,0,0,0
adder_1.txt,gmw,128,256,128,0.9999999999998918,0.36,1.91,3,0,0,0
adder_1.txt,gmw,128,512,256,0.999999999999996,0.5,1.67,3,0,0,0
adder_1.txt,gmw,128,512,256,0.9999999999999994,0.47,1.7,3,0,0,0
adder_1.txt,gmw,128,512,256,0.9999999999999976,0.47,1.71,3,0,0,0
adder_1.txt,gmw,64,128,64,1.0,0.23,1.51,0,1,0,0
adder_1.txt,gmw,64,128,64,1.0,0.24,1.56,0,1,0,0
adder_1.txt,gmw,64,128,64,1.0,0.22,1.58,0,1,0,0
adder_1.txt,gmw,64,256,128,1.0,0.27,1.81,0,1,0,0
