iters, train_size, test_size, pval, time
10, 128, 128, 0.12911551819370973, 1.7181804180145264
10, 128, 128, 0.18080225010196382, 1.7459750175476074
10, 128, 128, 0.25374129822637975, 1.7554073333740234
15, 128, 128, 0.007804108715679524, 1.8978207111358643
15, 128, 128, 0.0948010581912097, 1.8608112335205078
15, 128, 128, 0.030537846220977678, 1.8499047756195068
20, 128, 128, 0.02723041060792961, 1.9656505584716797
20, 128, 128, 0.11160723584215178, 1.9459216594696045
20, 128, 128, 0.554861650550321, 1.9796562194824219
25, 128, 128, 0.016190149514157332, 2.0711441040039062
25, 128, 128, 0.5395939037921137, 2.0386698246002197
25, 128, 128, 0.15005778119875446, 2.07348895072937
30, 128, 128, 0.007492341795816155, 2.1773805618286133
30, 128, 128, 0.016225026073266213, 2.2220375537872314
30, 128, 128, 0.0008445144975188285, 2.17496657371521
35, 128, 128, 0.000768382042173695, 2.3042807579040527
35, 128, 128, 0.0014505205441605077, 2.2914466857910156
35, 128, 128, 0.0017285837519217136, 2.2837424278259277
40, 128, 128, 0.19376420759894147, 2.4366114139556885
40, 128, 128, 0.002542323746344742, 2.412510395050049
40, 128, 128, 0.0004968679690168493, 2.4099385738372803
45, 128, 128, 0.0019593693411898375, 2.5292129516601562
45, 128, 128, 0.006202352358746805, 2.5443949699401855
45, 128, 128, 0.225625061633626, 2.5386390686035156
50, 128, 128, 0.0007200269252627052, 2.688054323196411
50, 128, 128, 0.010927831747839801, 2.6833386421203613
50, 128, 128, 0.005762493502685355, 2.667510986328125
10, 128, 256, 0.010956081262413892, 1.827493667602539
10, 128, 256, 0.03333969688127962, 1.840322494506836
10, 128, 256, 0.32809391058935167, 1.8213045597076416
15, 128, 256, 0.12490494893094017, 1.9961543083190918
15, 128, 256, 0.23497972056373817, 1.979060173034668
15, 128, 256, 0.0860560675812176, 2.001603364944458
20, 128, 256, 0.052139725632491134, 2.1567845344543457
20, 128, 256, 0.012909671416877986, 2.1939568519592285
20, 128, 256, 0.080380789309821, 2.2017393112182617
25, 128, 256, 0.0029204820019925913, 2.333385944366455
25, 128, 256, 0.11541745569459358, 2.337583065032959
25, 128, 256, 0.0007117637867591508, 2.3241567611694336
30, 128, 256, 9.436480059747366e-05, 2.5494301319122314
