bits, sample gen time, tree training time
8, 7.353744745254517, 2.6479885578155518
16, 14.840658903121948, 4.506563901901245
32, 30.439396142959595, 10.054063320159912
64, 73.92514634132385, 33.71645760536194
128, 159.8508973121643, 117.98379707336426
256, 335.379145860672, 378.4462206363678
512, 752.9881010055542, OOM
1024, OOM, OOM
2048, OOM, OOM
