iters, train_size, test_size, pval, time
5, 128, 128, 0.11188140835689663, 2.0695040225982666
5, 128, 128, 0.019456077957804484, 1.63576340675354
5, 128, 128, 0.07132334284628714, 1.6306746006011963
10, 128, 128, 0.11516877781833205, 1.7107281684875488
10, 128, 128, 0.007394884236456573, 1.715200424194336
10, 128, 128, 0.005698351092687011, 1.719973087310791
15, 128, 128, 0.0009353693154555919, 1.8476283550262451
15, 128, 128, 0.0004751335004052908, 1.8102757930755615
15, 128, 128, 9.722903243664151e-06, 1.7905690670013428
20, 128, 128, 0.0001798773205521793, 1.930959701538086
20, 128, 128, 1.2063504486135215e-05, 1.9305882453918457
20, 128, 128, 2.5518722560627794e-06, 1.9435954093933105
25, 128, 128, 2.7455981237005538e-08, 2.0177929401397705
25, 128, 128, 4.685733663569052e-06, 1.9883410930633545
25, 128, 128, 2.6850081995818687e-08, 2.035001039505005
30, 128, 128, 7.872253063353143e-09, 2.1278350353240967
30, 128, 128, 8.624104560673471e-06, 2.1541223526000977
30, 128, 128, 1.0975542862506965e-05, 2.1765143871307373
35, 128, 128, 9.5015147896004e-07, 2.2294199466705322
35, 128, 128, 3.5618418661237623e-07, 2.2190206050872803
35, 128, 128, 6.09442670231379e-11, 2.2273707389831543
40, 128, 128, 8.684817193016442e-08, 2.3089561462402344
40, 128, 128, 4.337223164207304e-09, 2.3041653633117676
40, 128, 128, 1.4107559352982364e-09, 2.3150103092193604
45, 128, 128, 2.135223780339353e-08, 2.423647880554199
45, 128, 128, 1.145915025840064e-08, 2.4326107501983643
45, 128, 128, 4.789398442956942e-08, 2.4330828189849854
50, 128, 128, 7.672335601891047e-08, 2.5083115100860596
50, 128, 128, 2.2037919948025615e-08, 2.5410594940185547
50, 128, 128, 9.621634298805544e-08, 2.531214952468872
55, 128, 128, 3.333642892681109e-12, 2.637500047683716
55, 128, 128, 1.1046574444532963e-07, 2.6440536975860596
55, 128, 128, 1.2787922976132682e-13, 2.637547731399536
60, 128, 128, 1.6350056639377656e-09, 2.734250068664551
60, 128, 128, 5.14066594358449e-10, 2.7201430797576904
60, 128, 128, 1.7554100018086134e-15, 2.7281432151794434
5, 128, 256, 0.007470282736424907, 1.665113925933838
5, 128, 256, 0.02330660534502487, 1.6554996967315674
5, 128, 256, 0.00628513691491046, 1.700420618057251
10, 128, 256, 0.005605065977788867, 1.8168244361877441
10, 128, 256, 0.011370989510743997, 1.799729585647583
10, 128, 256, 0.004579474398509718, 1.8210029602050781
15, 128, 256, 1.1233575608267506e-05, 1.938772201538086
15, 128, 256, 2.2077010110601533e-06, 1.9361813068389893
15, 128, 256, 0.0006660077163572995, 1.9866807460784912
20, 128, 256, 3.778955251585678e-06, 2.111607789993286
20, 128, 256, 1.4299441583481295e-08, 2.0976734161376953
20, 128, 256, 3.687016214557174e-07, 2.097411632537842
25, 128, 256, 4.801460855533451e-10, 2.247745990753174
25, 128, 256, 5.217355167922392e-06, 2.2576334476470947
25, 128, 256, 5.273263991469107e-08, 2.2482783794403076
30, 128, 256, 4.3165520120457954e-11, 2.4062204360961914
30, 128, 256, 8.401767843929662e-10, 2.3976590633392334
30, 128, 256, 4.0027314038287733e-10, 2.406043767929077
35, 128, 256, 2.1255174857196745e-13, 2.5680136680603027
35, 128, 256, 1.470301280266465e-10, 2.537059783935547
35, 128, 256, 5.984832194734267e-11, 2.6320176124572754
40, 128, 256, 3.9848778538327504e-13, 2.7406020164489746
40, 128, 256, 4.918693085897941e-10, 2.6866652965545654
40, 128, 256, 3.2773960457258953e-14, 2.686488389968872
45, 128, 256, 5.422720960950808e-12, 2.861555814743042
45, 128, 256, 8.28372274495126e-07, 2.822051763534546
45, 128, 256, 2.903258967418204e-15, 2.811309814453125
50, 128, 256, 7.829609144725647e-16, 2.952186107635498
50, 128, 256, 2.572805432125758e-14, 2.960798978805542
50, 128, 256, 2.0391274529905963e-14, 3.007460832595825
55, 128, 256, 8.650376158840103e-13, 3.1295173168182373
55, 128, 256, 2.8009919609008798e-15, 3.110840082168579
55, 128, 256, 1.5582405428828815e-19, 3.14735746383667
60, 128, 256, 6.367836812759781e-17, 3.232897996902466
60, 128, 256, 2.5617444046302386e-18, 3.2691636085510254
60, 128, 256, 4.874702199560079e-18, 3.2433340549468994
5, 128, 512, 0.0012507461239291133, 1.7628982067108154
5, 128, 512, 0.003999356269023268, 1.7661347389221191
5, 128, 512, 0.0117493037506756, 1.7645666599273682
10, 128, 512, 9.377329826683226e-05, 2.0130105018615723
10, 128, 512, 1.5828675985071492e-05, 2.02890944480896
10, 128, 512, 3.945664941725378e-08, 1.9822258949279785
