iters, train_size, test_size, pval, time
5, 128, 128, 0.8306502402853628, 1.692530870437622
5, 128, 128, 0.3462844969767288, 1.6494503021240234
5, 128, 128, 0.0724637404142566, 1.6535730361938477
10, 128, 128, 0.8165620640534701, 1.9582884311676025
10, 128, 128, 0.42618289964280015, 1.8933892250061035
10, 128, 128, 0.3982759176958692, 1.7615094184875488
15, 128, 128, 0.7274972085121949, 1.8248400688171387
15, 128, 128, 0.7512943204043576, 1.897798776626587
15, 128, 128, 0.6183868531210663, 1.8601808547973633
20, 128, 128, 0.341510406698626, 1.940582275390625
20, 128, 128, 0.5626682170018722, 1.9659678936004639
20, 128, 128, 0.7356865497338752, 1.9528396129608154
25, 128, 128, 0.6416784479409909, 2.099593162536621
25, 128, 128, 0.19757819881568367, 2.0438923835754395
25, 128, 128, 0.46670540737523725, 2.0553138256073
30, 128, 128, 0.19386478024063286, 2.2249112129211426
30, 128, 128, 0.8786143596665974, 2.1826508045196533
30, 128, 128, 0.5357961843531369, 2.1590046882629395
35, 128, 128, 0.0870667886709834, 2.2928647994995117
35, 128, 128, 0.1469454915071439, 2.284294843673706
35, 128, 128, 0.032482785263834274, 2.277055263519287
40, 128, 128, 0.27619648774360916, 2.361802339553833
40, 128, 128, 0.037735469572369375, 2.3542513847351074
40, 128, 128, 0.4922026781696511, 2.420738458633423
45, 128, 128, 0.07169612399870702, 2.588129758834839
45, 128, 128, 0.09478177314267021, 2.4990346431732178
45, 128, 128, 0.5062736533078123, 2.494412660598755
50, 128, 128, 0.19108120305290865, 2.6098413467407227
50, 128, 128, 0.41247080758940874, 2.56789493560791
50, 128, 128, 0.26752448069477736, 2.6442384719848633
55, 128, 128, 0.73603368326056, 2.726489782333374
55, 128, 128, 0.030136726780183507, 2.7511038780212402
55, 128, 128, 0.46983674530903996, 2.7140040397644043
60, 128, 128, 0.04360755101018019, 2.784451723098755
60, 128, 128, 0.1375466699881726, 2.839024066925049
60, 128, 128, 0.09688202071402058, 2.882697582244873
5, 128, 256, 0.8752665836664764, 1.6771738529205322
5, 128, 256, 0.007580397067368182, 1.7263193130493164
5, 128, 256, 0.3901459358973783, 2.616434097290039
10, 128, 256, 0.3096041354062419, 2.5998048782348633
10, 128, 256, 0.13310985199380437, 2.063483238220215
10, 128, 256, 0.07535953748265904, 1.8520760536193848
15, 128, 256, 0.3186462948527422, 2.0258712768554688
15, 128, 256, 0.2784846834515027, 2.08701491355896
15, 128, 256, 0.3559353348508394, 2.0488808155059814
20, 128, 256, 0.17242397983681318, 2.127523899078369
20, 128, 256, 0.2521270082569004, 2.263570785522461
20, 128, 256, 0.4285068804265766, 2.162275791168213
25, 128, 256, 0.24195313749489977, 2.635622024536133
25, 128, 256, 0.2766547656776225, 2.8005034923553467
25, 128, 256, 0.2565316304467777, 2.5198116302490234
30, 128, 256, 0.09242287909619899, 3.4328536987304688
30, 128, 256, 0.17584583876300147, 2.9291203022003174
30, 128, 256, 0.4588828078536903, 3.5773849487304688
35, 128, 256, 0.06834372077263239, 3.9760959148406982
35, 128, 256, 0.4079730118773028, 3.499055862426758
35, 128, 256, 0.6567039681278068, 3.8837363719940186
40, 128, 256, 0.27690264786167723, 3.5071325302124023
