circuit,protocol,iters,train_size,test_size,pval,data_time,d_tree_time,bias_sharing,bias_and,accidental_secret,accidental_gate,outputs
adder_1.txt,gmw,128,1024,512,0.5,1.43,3.81,0,0,0,0,values
adder_1.txt,gmw,128,1024,512,0.5,1.26,3.84,0,0,0,0,values
adder_1.txt,gmw,128,1024,512,0.5,1.31,3.16,0,0,0,0,values
adder_1.txt,gmw,128,2048,1024,0.5,1.64,3.52,0,0,0,0,values
adder_1.txt,gmw,128,2048,1024,0.5,1.6,3.36,0,0,0,0,values
adder_1.txt,gmw,128,2048,1024,0.5,2.02,4.03,0,0,0,0,values
adder_1.txt,gmw,256,1024,512,0.5,2.0,4.41,0,0,0,0,values
adder_1.txt,gmw,256,1024,512,0.5,1.88,4.39,0,0,0,0,values
adder_1.txt,gmw,256,1024,512,0.5,1.61,3.7,0,0,0,0,values
adder_1.txt,gmw,256,2048,1024,0.5,2.66,3.68,0,0,0,0,values
adder_1.txt,gmw,256,2048,1024,0.5,2.84,4.69,0,0,0,0,values
adder_1.txt,gmw,256,2048,1024,0.5,3.18,4.87,0,0,0,0,values
adder_1.txt,gmw,128,1024,512,0.5,1.36,4.05,0,0,0,2,values
adder_1.txt,gmw,128,1024,512,0.5,1.1,3.36,0,0,0,2,values
adder_1.txt,gmw,128,1024,512,0.5,1.12,3.27,0,0,0,2,values
adder_1.txt,gmw,128,2048,1024,0.5,1.57,3.85,0,0,0,2,values
adder_1.txt,gmw,128,2048,1024,0.5,2.09,4.31,0,0,0,2,values
adder_1.txt,gmw,128,2048,1024,0.5,1.95,4.03,0,0,0,2,values
adder_1.txt,gmw,256,1024,512,0.5,2.2,4.25,0,0,0,2,values
adder_1.txt,gmw,256,1024,512,0.5,1.8,3.75,0,0,0,2,values
adder_1.txt,gmw,256,1024,512,0.5,1.68,3.55,0,0,0,2,values
adder_1.txt,gmw,256,2048,1024,0.5,3.44,5.12,0,0,0,2,values
adder_1.txt,gmw,256,2048,1024,0.5,3.3,4.56,0,0,0,2,values
adder_1.txt,gmw,256,2048,1024,0.5,3.09,3.89,0,0,0,2,values
adder_1.txt,gmw,128,1024,512,0.5,1.02,3.26,0,0,1,0,values
adder_1.txt,gmw,128,1024,512,0.5,0.97,3.34,0,0,1,0,values
adder_1.txt,gmw,128,1024,512,0.5,1.13,3.93,0,0,1,0,values
adder_1.txt,gmw,128,2048,1024,0.5,1.74,4.34,0,0,1,0,values
adder_1.txt,gmw,128,2048,1024,0.5,2.08,4.15,0,0,1,0,values
adder_1.txt,gmw,128,2048,1024,0.5,2.03,3.57,0,0,1,0,values
adder_1.txt,gmw,256,1024,512,0.5,1.56,3.5,0,0,1,0,values
adder_1.txt,gmw,256,1024,512,0.5,1.72,4.05,0,0,1,0,values
adder_1.txt,gmw,256,1024,512,0.5,1.73,4.57,0,0,1,0,values
adder_1.txt,gmw,256,2048,1024,0.5,3.52,4.52,0,0,1,0,values
adder_1.txt,gmw,256,2048,1024,0.5,3.25,4.38,0,0,1,0,values
adder_1.txt,gmw,256,2048,1024,0.5,2.63,3.7,0,0,1,0,values
adder_1.txt,gmw,128,1024,512,0.5,1.21,3.19,0,2,0,0,values
adder_1.txt,gmw,128,1024,512,0.5,1.18,3.78,0,2,0,0,values
adder_1.txt,gmw,128,1024,512,0.5,1.1,4.13,0,2,0,0,values
adder_1.txt,gmw,128,2048,1024,0.5,1.86,4.02,0,2,0,0,values
adder_1.txt,gmw,128,2048,1024,0.5,1.92,3.89,0,2,0,0,values
adder_1.txt,gmw,128,2048,1024,0.5,1.57,3.4,0,2,0,0,values
adder_1.txt,gmw,256,1024,512,0.5,1.45,3.59,0,2,0,0,values
adder_1.txt,gmw,256,1024,512,0.5,1.59,4.05,0,2,0,0,values
adder_1.txt,gmw,256,1024,512,0.5,1.84,4.42,0,2,0,0,values
adder_1.txt,gmw,256,2048,1024,0.5,3.42,4.05,0,2,0,0,values
adder_1.txt,gmw,256,2048,1024,0.5,3.24,3.77,0,2,0,0,values
adder_1.txt,gmw,256,2048,1024,0.5,2.79,4.07,0,2,0,0,values
adder_1.txt,gmw,128,1024,512,0.5,1.09,3.93,1,0,0,0,values
adder_1.txt,gmw,128,1024,512,0.9772498680518208,1.14,4.23,1,0,0,0,values
adder_1.txt,gmw,128,1024,512,0.5,1.28,4.06,1,0,0,0,values
adder_1.txt,gmw,128,2048,1024,0.5,2.21,4.18,1,0,0,0,values
adder_1.txt,gmw,128,2048,1024,0.5,1.88,3.74,1,0,0,0,values
adder_1.txt,gmw,128,2048,1024,0.5,1.76,3.65,1,0,0,0,values
adder_1.txt,gmw,256,1024,512,0.5,1.76,4.08,1,0,0,0,values
adder_1.txt,gmw,256,1024,512,0.9772498680518208,1.89,4.07,1,0,0,0,values
adder_1.txt,gmw,256,1024,512,0.5,2.11,3.95,1,0,0,0,values
adder_1.txt,gmw,256,2048,1024,0.5,3.41,4.44,1,0,0,0,values
adder_1.txt,gmw,256,2048,1024,0.5,3.02,4.14,1,0,0,0,values
adder_1.txt,gmw,256,2048,1024,0.5,2.96,5.18,1,0,0,0,values
adder_1.txt,beaver,128,1024,512,0.9999999999999994,1.5,3.99,0,0,0,0,values
adder_1.txt,beaver,128,1024,512,0.9999999999999637,1.6,4.14,0,0,0,0,values
adder_1.txt,beaver,128,1024,512,0.9999999999992366,1.73,3.22,0,0,0,0,values
adder_1.txt,beaver,128,2048,1024,0.999999530465743,2.06,3.65,0,0,0,0,values
adder_1.txt,beaver,128,2048,1024,0.9999997661275158,1.98,3.73,0,0,0,0,values
adder_1.txt,beaver,128,2048,1024,0.9999999979546269,2.42,4.14,0,0,0,0,values
adder_1.txt,beaver,256,1024,512,1.0,2.35,4.55,0,0,0,0,values
adder_1.txt,beaver,256,1024,512,1.0,2.37,4.36,0,0,0,0,values
adder_1.txt,beaver,256,1024,512,1.0,2.16,3.86,0,0,0,0,values
adder_1.txt,beaver,256,2048,1024,0.9999999999999969,3.44,4.64,0,0,0,0,values
adder_1.txt,beaver,256,2048,1024,0.9999999999996958,4.07,4.87,0,0,0,0,values
adder_1.txt,beaver,256,2048,1024,0.9999999999993305,4.19,4.99,0,0,0,0,values
adder_1.txt,beaver,128,1024,512,1.0,1.12,3.65,0,0,0,2,values
adder_1.txt,beaver,128,1024,512,1.0,1.42,3.37,0,0,0,2,values
adder_1.txt,beaver,128,1024,512,1.0,1.3,3.76,0,0,0,2,values
adder_1.txt,beaver,128,2048,1024,0.9999999999999983,2.68,4.73,0,0,0,2,values
adder_1.txt,beaver,128,2048,1024,0.9999999999999989,2.32,4.33,0,0,0,2,values
adder_1.txt,beaver,128,2048,1024,0.9999999999999998,2.57,3.83,0,0,0,2,values
adder_1.txt,beaver,256,1024,512,1.0,2.05,3.89,0,0,0,2,values
adder_1.txt,beaver,256,1024,512,1.0,2.17,4.03,0,0,0,2,values
adder_1.txt,beaver,256,1024,512,1.0,2.59,4.72,0,0,0,2,values
adder_1.txt,beaver,256,2048,1024,1.0,4.5,4.92,0,0,0,2,values
adder_1.txt,beaver,256,2048,1024,1.0,4.01,4.15,0,0,0,2,values
adder_1.txt,beaver,256,2048,1024,1.0,3.55,4.6,0,0,0,2,values
adder_1.txt,beaver,128,1024,512,0.9999999999999992,1.68,4.27,0,0,1,0,values
adder_1.txt,beaver,128,1024,512,0.9999999999999999,1.58,4.11,0,0,1,0,values
adder_1.txt,beaver,128,1024,512,0.9999999999999998,1.35,3.72,0,0,1,0,values
adder_1.txt,beaver,128,2048,1024,0.9999999999999949,2.25,3.52,0,0,1,0,values
adder_1.txt,beaver,128,2048,1024,0.9999999999992646,2.18,3.79,0,0,1,0,values
adder_1.txt,beaver,128,2048,1024,0.9999999999999514,2.2,4.34,0,0,1,0,values
adder_1.txt,beaver,256,1024,512,1.0,2.37,4.79,0,0,1,0,values
adder_1.txt,beaver,256,1024,512,1.0,2.58,4.33,0,0,1,0,values
adder_1.txt,beaver,256,1024,512,1.0,2.32,3.71,0,0,1,0,values
adder_1.txt,beaver,256,2048,1024,1.0,3.7,4.51,0,0,1,0,values
adder_1.txt,beaver,256,2048,1024,1.0,4.27,4.8,0,0,1,0,values
adder_1.txt,beaver,256,2048,1024,1.0,4.2,5.11,0,0,1,0,values
adder_1.txt,beaver,128,1024,512,0.9999999999999885,1.46,3.36,0,2,0,0,values
adder_1.txt,beaver,128,1024,512,0.9999999999999992,1.2,3.43,0,2,0,0,values
adder_1.txt,beaver,128,1024,512,0.9999999999999976,1.3,3.16,0,2,0,0,values
adder_1.txt,beaver,128,2048,1024,0.9999999999999885,2.39,4.21,0,2,0,0,values
adder_1.txt,beaver,128,2048,1024,0.9999999999999992,2.5,3.98,0,2,0,0,values
adder_1.txt,beaver,128,2048,1024,0.9999999999999947,2.49,3.98,0,2,0,0,values
adder_1.txt,beaver,256,1024,512,1.0,2.21,3.89,0,2,0,0,values
adder_1.txt,beaver,256,1024,512,1.0,1.97,3.73,0,2,0,0,values
adder_1.txt,beaver,256,1024,512,1.0,2.41,4.28,0,2,0,0,values
adder_1.txt,beaver,256,2048,1024,1.0,4.43,5.04,0,2,0,0,values
adder_1.txt,beaver,256,2048,1024,1.0,4.21,3.93,0,2,0,0,values
adder_1.txt,beaver,256,2048,1024,1.0,3.59,3.9,0,2,0,0,values
adder_1.txt,beaver,128,1024,512,1.0,1.34,4.28,1,0,0,0,values
adder_1.txt,beaver,128,1024,512,1.0,1.67,3.76,1,0,0,0,values
adder_1.txt,beaver,128,1024,512,1.0,1.61,3.83,1,0,0,0,values
adder_1.txt,beaver,128,2048,1024,1.0,2.63,3.6,1,0,0,0,values
adder_1.txt,beaver,128,2048,1024,1.0,2.18,3.52,1,0,0,0,values
adder_1.txt,beaver,128,2048,1024,1.0,2.16,3.17,1,0,0,0,values
adder_1.txt,beaver,256,1024,512,1.0,2.41,4.46,1,0,0,0,values
adder_1.txt,beaver,256,1024,512,1.0,2.62,4.66,1,0,0,0,values
adder_1.txt,beaver,256,1024,512,1.0,2.64,4.47,1,0,0,0,values
adder_1.txt,beaver,256,2048,1024,1.0,4.15,4.31,1,0,0,0,values
adder_1.txt,beaver,256,2048,1024,1.0,3.73,4.76,1,0,0,0,values
adder_1.txt,beaver,256,2048,1024,1.0,4.62,4.84,1,0,0,0,values
beaver_triple_gen_1.txt,gmw,128,1024,512,0.6911845302416121,1.21,3.99,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,128,1024,512,0.6313539123843883,1.23,3.17,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,128,1024,512,0.7437238650186201,1.08,3.58,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,128,2048,1024,0.4504716061061422,1.48,3.36,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,128,2048,1024,0.022957322562584016,1.75,4.11,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,128,2048,1024,0.18558199252464214,1.77,3.8,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,256,1024,512,0.5840874860524897,2.05,4.52,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,256,1024,512,0.7903258857266484,1.81,3.64,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,256,1024,512,0.2103034775165063,1.54,3.56,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,256,2048,1024,0.842104586910374,2.8,4.6,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,256,2048,1024,0.6746488720995086,2.89,4.76,0,0,0,0,values
