iters, train_size, test_size, pval, time
10, 128, 128, 0.005532640449415632, 1.7169983386993408
10, 128, 128, 0.005830900638323758, 1.7775020599365234
10, 128, 128, 0.0021129750885358896, 1.73201584815979
15, 128, 128, 0.001971564781054788, 1.854921817779541
15, 128, 128, 0.014513943183224673, 1.8304495811462402
15, 128, 128, 0.013388027621865724, 1.8394725322723389
20, 128, 128, 0.00016503416630745654, 1.9731073379516602
20, 128, 128, 3.0301746841686974e-05, 1.9659228324890137
20, 128, 128, 5.318494545433414e-05, 1.961719274520874
25, 128, 128, 4.343049742072841e-05, 2.0997111797332764
25, 128, 128, 4.417153374620094e-06, 2.0827627182006836
25, 128, 128, 1.011486493425754e-09, 2.0789945125579834
30, 128, 128, 1.0837776915443422e-05, 2.2030560970306396
30, 128, 128, 6.998974553174154e-06, 2.2108612060546875
30, 128, 128, 5.944264699740785e-09, 2.221045970916748
35, 128, 128, 1.2302139024221143e-05, 2.332890748977661
35, 128, 128, 2.3126746684392534e-08, 2.3185181617736816
35, 128, 128, 2.310816791434404e-09, 2.360335111618042
40, 128, 128, 3.5355871903450727e-06, 2.4575719833374023
40, 128, 128, 6.270973502582376e-08, 2.452317953109741
40, 128, 128, 6.5224217535802975e-09, 2.447242259979248
45, 128, 128, 1.7244667225434713e-10, 2.561732292175293
45, 128, 128, 4.994307539522823e-07, 2.573869466781616
45, 128, 128, 1.0739643098802143e-13, 2.561742067337036
50, 128, 128, 4.486940044237649e-09, 2.697324275970459
50, 128, 128, 1.757853413561015e-09, 2.698049545288086
50, 128, 128, 5.526848326300576e-16, 2.696077346801758
10, 128, 256, 0.0015503045077324537, 1.8619747161865234
10, 128, 256, 0.00027989846473387394, 1.816884994506836
10, 128, 256, 0.0004317506287419159, 1.8271210193634033
15, 128, 256, 3.139369127213321e-06, 2.0322277545928955
15, 128, 256, 7.317486496227268e-07, 2.016911029815674
15, 128, 256, 0.0003820995747570466, 2.0643362998962402
20, 128, 256, 8.733180378895475e-11, 2.240696907043457
20, 128, 256, 0.0007890439713233316, 2.2218174934387207
20, 128, 256, 1.4623294512659076e-05, 2.2038795948028564
25, 128, 256, 3.8392963432957365e-09, 2.375131130218506
25, 128, 256, 4.414139335462391e-05, 2.378004550933838
25, 128, 256, 7.833681556836195e-10, 2.385204553604126
30, 128, 256, 7.622176807950262e-09, 2.570641279220581
30, 128, 256, 5.293668554715567e-08, 2.5781948566436768
30, 128, 256, 1.430746767437009e-08, 2.54106068611145
35, 128, 256, 5.91961710594852e-09, 2.722357988357544
