iters, train_size, test_size, pval, time
10, 128, 128, 0.2169675059554057, 1.7866253852844238
10, 128, 128, 0.9597320150033052, 1.7776179313659668
10, 128, 128, 0.32144862583104267, 1.771636724472046
15, 128, 128, 0.5121058999712568, 1.9099571704864502
15, 128, 128, 0.813011737984815, 1.8998503684997559
15, 128, 128, 0.07343561911802199, 1.8960745334625244
20, 128, 128, 0.5950371881344247, 2.012596607208252
20, 128, 128, 0.38749039617035697, 2.022460699081421
20, 128, 128, 0.062222197909628824, 2.0466489791870117
25, 128, 128, 0.6224473410997022, 2.142566442489624
25, 128, 128, 0.9836328236267884, 2.131413698196411
25, 128, 128, 0.31585974666854005, 2.13849139213562
30, 128, 128, 0.6812463318695541, 2.2613883018493652
30, 128, 128, 0.05582441589761741, 2.289388656616211
30, 128, 128, 0.03496509514417967, 2.3006234169006348
35, 128, 128, 0.43375868637637327, 2.4343833923339844
35, 128, 128, 0.9667659960618213, 2.4356014728546143
35, 128, 128, 0.1388408442599928, 2.4211816787719727
40, 128, 128, 0.36315705244171936, 2.558835506439209
40, 128, 128, 0.24570077635622517, 2.5255279541015625
40, 128, 128, 0.6732346479873221, 2.5438992977142334
45, 128, 128, 0.7566424697422716, 2.662980556488037
45, 128, 128, 0.6816009115234161, 2.653501033782959
45, 128, 128, 0.2006028794816021, 2.6686363220214844
50, 128, 128, 0.445270818622327, 2.8987467288970947
50, 128, 128, 0.7111662451459552, 2.792853355407715
50, 128, 128, 0.6759761679570098, 2.8108620643615723
10, 128, 256, 0.3508055035209117, 1.8941946029663086
10, 128, 256, 0.31948582672211256, 1.8936047554016113
10, 128, 256, 0.3426888135943489, 1.9133491516113281
15, 128, 256, 0.93891910710987, 2.0751705169677734
15, 128, 256, 0.306032963263754, 2.0937106609344482
15, 128, 256, 0.39746797706069203, 2.09818172454834
20, 128, 256, 0.9869704969678107, 2.2497928142547607
20, 128, 256, 0.2083244382870605, 2.296643018722534
20, 128, 256, 0.0885015390288883, 2.263282537460327
25, 128, 256, 0.7349546907754292, 2.4660956859588623
25, 128, 256, 0.10792429240398646, 2.4310288429260254
25, 128, 256, 0.19684861068500686, 2.464721202850342
30, 128, 256, 0.46716575702732605, 2.6687397956848145
30, 128, 256, 0.3633220810954359, 2.6681294441223145
30, 128, 256, 0.38783849616920785, 2.658902645111084
35, 128, 256, 0.9065599706626771, 2.852839469909668
35, 128, 256, 0.5632566020186336, 2.852055549621582
35, 128, 256, 0.07924073747954441, 2.87399959564209
40, 128, 256, 0.8628653056229785, 3.0356264114379883
40, 128, 256, 0.495084291320031, 3.015801191329956
40, 128, 256, 0.05637985765425954, 3.0038554668426514
45, 128, 256, 0.80468812882096, 3.2011547088623047
45, 128, 256, 0.06239445538086311, 3.2380080223083496
45, 128, 256, 0.3322638156031415, 3.2261803150177
50, 128, 256, 0.9586575625265544, 3.408660650253296
50, 128, 256, 0.559402859404042, 3.45475435256958
50, 128, 256, 0.3320389576593477, 3.37937593460083
10, 128, 512, 0.406857180267219, 2.152731418609619
10, 128, 512, 0.7884422112997208, 2.1318256855010986
10, 128, 512, 0.3828041686457443, 2.1382594108581543
15, 128, 512, 0.8672198469560679, 2.4524383544921875
15, 128, 512, 0.12339590614924527, 2.4557442665100098
15, 128, 512, 0.990539120301604, 2.471959114074707
20, 128, 512, 0.6048397156493879, 2.7723116874694824
20, 128, 512, 0.2922599634460574, 2.751558780670166
20, 128, 512, 0.3874785652942559, 2.7802672386169434
25, 128, 512, 0.31594104322059535, 3.069122314453125
