circuit,protocol,iters,train_size,test_size,pval,data_time,d_tree_time,bias_sharing,bias_and,accidental_secret,accidental_gate,outputs
beaver_triple_gen_1.txt,gmw,128,1024,512,0.33846500686042724,0.64,1.79,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,128,1024,512,0.8162697849107724,0.65,2.09,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,128,1024,512,0.9308666389912432,0.64,2.13,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,128,2048,1024,0.044446714295471555,1.21,2.42,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,128,2048,1024,0.7720254181393608,1.14,2.32,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,128,2048,1024,0.10040618444235616,1.09,2.22,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,256,1024,512,0.9250477319993099,1.11,2.36,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,256,1024,512,0.0515184617546699,1.08,2.12,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,256,1024,512,0.7805774393643752,1.04,1.88,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,256,2048,1024,0.490354312919514,1.87,2.43,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,256,2048,1024,0.4402222642272771,1.81,2.37,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,256,2048,1024,0.8358369625530655,1.93,2.86,0,0,0,0,values
beaver_triple_gen_1.txt,gmw,128,1024,512,0.961522634110045,0.63,2.28,0,0,0,1,values
beaver_triple_gen_1.txt,gmw,128,1024,512,0.42489023273154825,0.67,2.17,0,0,0,1,values
beaver_triple_gen_1.txt,gmw,128,1024,512,0.34078254870736174,0.7,2.08,0,0,0,1,values
beaver_triple_gen_1.txt,gmw,128,2048,1024,0.8667713667684374,1.18,2.52,0,0,0,1,values
beaver_triple_gen_1.txt,gmw,128,2048,1024,0.802560962636451,1.14,2.27,0,0,0,1,values
beaver_triple_gen_1.txt,gmw,128,2048,1024,0.7587892496051527,1.05,1.98,0,0,0,1,values
beaver_triple_gen_1.txt,gmw,256,1024,512,0.2883312334614021,1.08,2.21,0,0,0,1,values
beaver_triple_gen_1.txt,gmw,256,1024,512,0.5624177485137699,1.08,2.14,0,0,0,1,values
beaver_triple_gen_1.txt,gmw,256,1024,512,0.5319391556848972,1.14,2.08,0,0,0,1,values
beaver_triple_gen_1.txt,gmw,256,2048,1024,0.560633080346749,1.84,2.8,0,0,0,1,values
