iters, train_size, test_size, pval, time
10, 128, 128, 0.00021664585883753205, 1.8018007278442383
10, 128, 128, 0.0018437131126776197, 1.7813003063201904
10, 128, 128, 0.002782366409627925, 1.774665117263794
15, 128, 128, 0.008743858693712636, 1.8733344078063965
15, 128, 128, 8.663878237773155e-06, 1.8971190452575684
15, 128, 128, 0.03241064732698206, 1.8721485137939453
20, 128, 128, 8.102529342943888e-06, 2.0279932022094727
20, 128, 128, 5.499342297578483e-06, 2.0105390548706055
20, 128, 128, 0.00020709274508867078, 2.0178208351135254
25, 128, 128, 0.01031739741806064, 2.1495273113250732
25, 128, 128, 9.342246278060331e-06, 2.1405763626098633
25, 128, 128, 4.452986972588486e-06, 2.171858072280884
30, 128, 128, 2.6500856703277764e-07, 2.2443788051605225
30, 128, 128, 9.787587033167984e-06, 2.278613567352295
30, 128, 128, 1.6103552632097698e-05, 2.3010239601135254
35, 128, 128, 1.0489612056450091e-08, 2.4105446338653564
35, 128, 128, 4.195568960758145e-08, 2.4174628257751465
35, 128, 128, 9.711029903199595e-09, 2.398399829864502
40, 128, 128, 1.0314314093642262e-06, 2.539860248565674
40, 128, 128, 1.1868733766643831e-07, 2.514615535736084
40, 128, 128, 0.0019806753346017455, 2.49133563041687
45, 128, 128, 4.0634161818046904e-08, 2.688638210296631
45, 128, 128, 1.1088972015015143e-08, 2.6387786865234375
45, 128, 128, 3.2383316162404395e-06, 2.669243097305298
50, 128, 128, 1.4210596679113133e-13, 2.8057212829589844
50, 128, 128, 6.272036375824571e-07, 2.835887908935547
50, 128, 128, 5.6431978830419863e-08, 2.7970993518829346
10, 128, 256, 0.013150774306758537, 1.9108996391296387
10, 128, 256, 0.0009074826619302584, 1.8839175701141357
10, 128, 256, 0.008314307695734977, 1.8943939208984375
15, 128, 256, 0.0005637417236437055, 2.105212688446045
15, 128, 256, 8.840316258215682e-05, 2.0911834239959717
15, 128, 256, 0.0001723081515120564, 2.0845508575439453
20, 128, 256, 2.2885390147763418e-07, 2.2330503463745117
20, 128, 256, 0.0028542410031460845, 2.252516746520996
20, 128, 256, 8.265574830932509e-07, 2.249101400375366
25, 128, 256, 2.5934021793243e-07, 2.4426913261413574
25, 128, 256, 1.333311243284567e-09, 2.4662961959838867
25, 128, 256, 3.5336689738524226e-08, 2.465986728668213
30, 128, 256, 2.8394256903622134e-06, 2.6798558235168457
30, 128, 256, 5.5905120657694364e-08, 2.627169609069824
30, 128, 256, 4.212495927319596e-10, 2.6364424228668213
35, 128, 256, 3.302077528343843e-08, 2.8263986110687256
35, 128, 256, 1.112959015807707e-06, 2.828961133956909
35, 128, 256, 1.487997495456957e-11, 2.850550889968872
40, 128, 256, 3.8993030098285366e-09, 2.999032974243164
40, 128, 256, 2.3011683668297318e-07, 3.005387306213379
40, 128, 256, 3.3128140421394663e-06, 2.9975826740264893
45, 128, 256, 2.6035535609176768e-12, 3.1775076389312744
45, 128, 256, 1.1219531452686723e-11, 3.206022262573242
45, 128, 256, 1.483658769554681e-10, 3.183504343032837
50, 128, 256, 2.782820307577753e-13, 3.4005517959594727
50, 128, 256, 9.548079506813756e-12, 3.395186185836792
50, 128, 256, 1.1934409982488693e-13, 3.387221097946167
10, 128, 512, 0.006193868043847535, 2.113184928894043
10, 128, 512, 0.00011706573248834581, 2.1287524700164795
10, 128, 512, 0.01479101846392398, 2.1366896629333496
15, 128, 512, 7.855940079519215e-05, 2.414670944213867
15, 128, 512, 1.2640098157630136e-06, 2.4403419494628906
15, 128, 512, 5.173006173433722e-06, 2.4395647048950195
20, 128, 512, 7.687732798214979e-10, 2.7435662746429443
20, 128, 512, 3.1285802699828546e-06, 2.751405715942383
20, 128, 512, 1.4821758154711745e-08, 2.771496057510376
25, 128, 512, 5.7886713087256224e-08, 3.0407843589782715
25, 128, 512, 5.588105991667688e-06, 3.0559327602386475
25, 128, 512, 6.060445282653643e-12, 3.0129551887512207
30, 128, 512, 2.140486258395172e-07, 3.349503993988037
30, 128, 512, 5.039682022366114e-12, 3.293081045150757
30, 128, 512, 8.069022316068584e-06, 3.320615291595459
35, 128, 512, 2.2606253154840083e-10, 3.650895833969116
35, 128, 512, 7.165320722556711e-09, 3.6401216983795166
35, 128, 512, 7.873578797821948e-14, 3.6050634384155273
40, 128, 512, 1.0864280113170656e-12, 3.904881715774536
40, 128, 512, 1.3372476436011115e-11, 3.9439151287078857
40, 128, 512, 1.0826931597419785e-11, 3.8845832347869873
45, 128, 512, 1.9571029234233895e-16, 4.165302991867065
45, 128, 512, 1.43160471944839e-10, 4.1603803634643555
45, 128, 512, 5.354440681589885e-13, 4.124857187271118
50, 128, 512, 2.1277461883033106e-13, 4.439372301101685
50, 128, 512, 2.3507870800846726e-14, 4.535143852233887
50, 128, 512, 1.8817993514712877e-13, 4.460541009902954
10, 128, 1024, 3.1015414227101046e-06, 2.631950855255127
10, 128, 1024, 6.929342956032698e-05, 2.618976354598999
10, 128, 1024, 0.00716705170112706, 2.6153218746185303
15, 128, 1024, 1.014240549436505e-07, 3.1377081871032715
15, 128, 1024, 1.0003185564358522e-07, 3.1722400188446045
15, 128, 1024, 1.6421611453148499e-06, 3.1779353618621826
20, 128, 1024, 6.655390200857625e-08, 3.716032028198242
20, 128, 1024, 1.8393017199811087e-07, 3.6877477169036865
20, 128, 1024, 3.4951407979286844e-10, 3.733675718307495
25, 128, 1024, 5.081735840945349e-09, 4.226632356643677
25, 128, 1024, 1.5763172034969506e-09, 4.164608001708984
25, 128, 1024, 1.721083666009936e-10, 4.146169185638428
30, 128, 1024, 1.0580828815002354e-11, 4.625024080276489
30, 128, 1024, 2.1882861736628746e-12, 4.620781898498535
30, 128, 1024, 1.106446473639524e-12, 4.627524137496948
35, 128, 1024, 2.2125807348984465e-09, 5.171569108963013
35, 128, 1024, 3.114528784256389e-14, 5.207647323608398
35, 128, 1024, 4.1588347612841464e-13, 5.199255466461182
40, 128, 1024, 4.138973611174532e-16, 5.633168697357178
40, 128, 1024, 2.975521089246818e-13, 5.696835279464722
40, 128, 1024, 2.8683589769742395e-11, 5.6570117473602295
45, 128, 1024, 2.5625109473343595e-14, 6.2339699268341064
45, 128, 1024, 4.309180014830174e-14, 6.102197647094727
45, 128, 1024, 3.438346579151001e-18, 6.125324249267578
50, 128, 1024, 1.6428588837810888e-18, 6.7198967933654785
